Time;HeadPosition_X;HeadPosition_Y;HeadPosition_Z;HeadRotation_X;HeadRotation_Y;HeadRotation_Z;EyeConfidanceLeft;EyeRotationLeft_X;EyeRotationLeft_Y;EyeConfidanceRight;EyeRotationRight_X;EyeRotationRight_Y;HandPositionLeft_X;HandPositionLeft_Y;HandPositionLeft_Z;HandRotationLeft_X;HandRotationLeft_Y;HandRotationLeft_Z;HandPositionRight_X;HandPositionRight_Y;HandPositionRight_Z;HandRotationRight_X;HandRotationRight_Y;HandRotationRight_Z;ExpressionConfidanceUpperFace;ExpressionConfidanceLowerFace;BrowLowererL;BrowLowererR;CheekPuffL;CheekPuffR;CheekRaiserL;CheekRaiserR;CheekSuckL;CheekSuckR;ChinRaiserB;ChinRaiserT;DimplerL;DimplerR;EyesClosedL;EyesClosedR;EyesLookDownL;EyesLookDownR;EyesLookLeftL;EyesLookLeftR;EyesLookRightL;EyesLookRightR;EyesLookUpL;EyesLookUpR;InnerBrowRaiserL;InnerBrowRaiserR;JawDrop;JawSidewaysLeft;JawSidewaysRight;JawThrust;LidTightenerL;LidTightenerR;LipCornerDepressorL;LipCornerDepressorR;LipCornerPullerL;LipCornerPullerR;LipFunnelerLB;LipFunnelerLT;LipFunnelerRB;LipFunnelerRT;LipPressorL;LipPressorR;LipPuckerL;LipPuckerR;LipStretcherL;LipStretcherR;LipSuckLB;LipSuckLT;LipSuckRB;LipSuckRT;LipTightenerL;LipTightenerR;LipsToward;LowerLipDepressorL;LowerLipDepressorR;MouthLeft;MouthRight;NoseWrinklerL;NoseWrinklerR;OuterBrowRaiserL;OuterBrowRaiserR;UpperLidRaiserL;UpperLidRaiserR;UpperLipRaiserL;UpperLipRaiserR
12.7227;0.002422933;1.251252;-0.01344197;342.6852;24.22327;357.0046;0.9980469;28.9364;347.6474;0.9980469;28.85686;346.8177;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0.1919514;0.2011664;0.0001387466;0.007196492;0.05048417;0.03041571;1.540692E-14;0;0.06025953;0.02723509;0;2.210738E-08;0.9955844;0.995586;0.002911943;0.002899243;0.3357925;0.3583893;0;0;0;0;0.1142603;0.09906963;0.009592914;0.002980407;0.01022752;0.05984076;0.01010901;0.004735218;0.03415389;0.01017881;0.0003868797;0.0001330506;0;7.173202E-07;8.724074E-07;5.039389E-07;0;0;0.04855498;0.05888379;4.836792E-06;3.22662E-07;0.08523641;0.09365142;0.08518633;0.08337919;0.02135344;0.02044796;0.01525465;2.2123E-10;0;0.007802911;0.0002060902;0.03418108;0.03231753;0.06612461;0.03619011;7.254505E-37;3.782369E-35;0.01021597;0.01026199
13.75795;0.001074962;1.276475;-0.04525683;329.7265;35.48154;3.075793;0.9980469;29.05415;7.162229;0.9980469;29.11127;5.996085;0;0;0;0;0;0;0.3318826;0.8312184;0.01653175;332.2881;273.5381;52.66497;1;1;0.2160587;0.2558112;1.834048E-09;5.335654E-08;0.06798427;0.05036518;4.259249E-19;0;1.945151E-05;3.180698E-05;0;6.095618E-13;0.9955572;0.9955572;0.002928068;0.00293496;0;0;0.194667;0.1629579;0;0;0.1187291;0.1395613;0.009968587;0.007275345;0.02556866;2.05736E-05;0.01007943;0.01027766;0.02126734;0.00923375;2.331528E-06;2.618838E-09;0;1.896231E-11;2.373868E-11;1.316738E-11;0;0;0.04036247;0.05043808;1.249335E-10;8.879282E-12;0.09397314;0.0933174;0.08333209;0.06429225;0.0100893;0.004005861;0.02080508;6.115465E-15;0;0.01008566;0.01008436;0.04418914;0.04110623;0.09738176;0.08484511;2.005538E-41;1.045641E-39;0.01348266;0.01846702
13.81299;-6.203353E-05;1.276244;-0.0456736;329.8066;35.13497;3.328961;0.9980469;28.96074;8.592436;0.9980469;29.03194;7.396839;0;0;0;0;0;0;0.3323931;0.8317478;0.01759173;333.0817;276.7345;45.97016;1;1;0.223248;0.2611364;6.413451E-10;1.858098E-08;0.06996233;0.05041232;1.491063E-19;0;2.497617E-06;8.186524E-06;0;2.133924E-13;0.9955683;0.9955683;0.002917001;0.002925581;0;0;0.2335715;0.2010502;0;0;0.1196948;0.1563776;0.01005273;0.005972695;0.02677601;6.027383E-06;0.01008354;0.01015193;0.02043819;0.009844413;8.102204E-07;9.16334E-10;0;6.637825E-12;8.310162E-12;4.60921E-12;0;0;0.03461719;0.04114867;4.373196E-11;3.108407E-12;0.09140088;0.09119201;0.0821825;0.06195162;0.0100869;0.008451109;0.0226024;2.14088E-15;0;0.01008569;0.01008524;0.04107232;0.04056054;0.1009166;0.1025498;7.020505E-42;3.660542E-40;0.01590427;0.01975127
13.86982;-0.0007651262;1.275241;-0.04448636;330.784;34.15826;3.648244;0.9980469;29.00463;7.942619;0.9980469;29.05195;7.098101;0;0;0;0;0;0;0.3264604;0.8361412;0.01375007;330.9178;281.4471;38.17638;1;1;0.2191559;0.255163;3.184219E-10;9.209564E-09;0.06829298;0.05042148;7.406368E-20;0;7.996569E-07;3.573908E-06;0;1.059955E-13;0.9955631;0.9955631;0.002922212;0.002927915;0;0;0.2158934;0.1929247;0;0;0.1201515;0.1545592;0.01007075;0.006490599;0.0243636;2.780018E-06;0.01356856;0.01011841;0.0151392;0.009975993;4.01232E-07;4.550651E-10;0;3.297035E-12;4.127763E-12;2.289397E-12;0;0;0.03759686;0.04228301;2.172154E-11;1.543995E-12;0.09101581;0.0909225;0.08349715;0.0608035;0.01008629;0.0093587;0.02216116;1.063412E-15;0;0.0100857;0.01008548;0.04336097;0.04366184;0.09881147;0.1005602;3.487832E-42;1.818255E-40;0.01468194;0.01999137
13.9277;-0.003489106;1.271772;-0.03822945;333.2543;30.58813;3.402192;0.9980469;29.35618;1.917055;0.9980469;29.36704;0.8727866;0;0;0;0;0;0;0.3245488;0.8363347;0.01410882;331.4091;281.6094;38.66414;1;1;0.2163202;0.2521292;1.581146E-10;4.567744E-09;0.06767852;0.05042534;3.678833E-20;0;2.911938E-07;1.623781E-06;0;5.264921E-14;0.9955233;0.9955233;0.002962018;0.002963332;0;0;0.05208141;0.02371093;0;0;0.1228474;0.143899;0.01007873;0.006601001;0.03404307;1.312248E-06;0.0116132;0.00235586;0.0158204;0.006736239;1.988839E-07;2.260045E-10;0;1.637647E-12;2.050297E-12;1.137145E-12;0;0;0.03901129;0.04508752;1.078905E-11;7.669198E-13;0.09824929;0.09580498;0.08837967;0.07644749;0.01008599;0.009751087;0.02309034;5.282097E-16;0;0.01008571;0.0100856;0.04395939;0.04171634;0.1055319;0.08441391;1.732005E-42;9.031509E-41;0.01768619;0.02386467
13.98435;-0.002365211;1.269994;-0.03611569;334.3254;29.68323;3.10835;0.9980469;29.23421;353.1984;0.9980469;29.18849;352.3518;0;0;0;0;0;0;0.3256897;0.8379194;0.01348225;331.9224;282.9098;37.43507;1;1;0.2101962;0.2482048;7.852064E-11;2.26656E-09;0.062465;0.04516397;1.827319E-20;0;1.1638E-07;7.585313E-07;0;2.615146E-14;0.9955443;0.9955443;0.00294654;0.002941026;0.1848137;0.2078313;0;0;0;0;0.124028;0.1315649;0.006721511;0.006601184;0.037092;6.29398E-07;0.005077607;0.0006767107;0.0185575;0.008677236;9.864801E-08;1.122483E-10;0;8.134282E-13;1.018402E-12;5.648244E-13;0;0;0.03969225;0.04605654;5.358945E-12;3.809376E-13;0.09775711;0.09718232;0.08988342;0.07954762;0.01008585;0.009927984;0.02230248;2.623679E-16;0;0.01008571;0.01008565;0.04164157;0.04094395;0.1051312;0.07270858;8.603973E-43;4.486117E-41;0.01697474;0.02190083
14.04031;-0.00273952;1.267546;-0.0321491;335.9311;28.39904;2.516641;0.9980469;29.23421;353.1984;0.9980469;29.1885;352.3518;0;0;0;0;0;0;0.324951;0.8375137;0.01385073;332.1086;281.1118;38.06166;1;1;0.2083077;0.2440448;5.533534E-11;1.596822E-09;0.05523355;0.04278388;1.287858E-20;0;7.552868E-08;5.224097E-07;0;1.843102E-14;0.9955443;0.9955443;0.00294654;0.002941026;0.1848137;0.2078313;0;0;0;0;0.1209701;0.1214214;0.007906934;0.008106022;0.03891771;4.378039E-07;0.006737543;0.0003858632;0.01439671;0.004253677;6.948824E-08;7.910745E-11;0;5.732851E-13;7.177478E-13;3.980745E-13;0;0;0.03988714;0.04782701;3.77685E-12;2.68477E-13;0.0947366;0.09885655;0.08536475;0.08005402;0.01008581;0.009976714;0.02157852;1.849116E-16;0;0.004730321;0.01008567;0.04115151;0.04074673;0.104362;0.06156487;6.067622E-43;3.16175E-41;0.01392256;0.02136356
14.09584;-0.003224355;1.266679;-0.02876442;336.5594;26.70775;1.856457;0.9980469;29.27032;354.3791;0.9980469;29.23199;353.5302;0;0;0;0;0;0;0.325371;0.8410225;0.01302763;332.5623;283.0316;36.18596;1;1;0.2029832;0.2357748;2.748266E-11;7.927146E-10;0.05138807;0.04106505;6.397002E-21;0;3.308201E-08;2.50582E-07;0;9.154986E-15;0.9955387;0.9955387;0.002951276;0.002946649;0.1527237;0.1758002;0;0;0;0;0.1187299;0.1133986;0.002026752;0.006873403;0.03636127;2.131898E-07;0.008550808;0.0001380892;0.01137156;0.001194092;3.44883E-08;3.929183E-11;0;2.847582E-13;3.565163E-13;1.977284E-13;0;0;0.04011859;0.04943282;1.876003E-12;1.333569E-13;0.09677;0.09781571;0.0888029;0.08640628;0.006598063;0.006656813;0.02080431;9.184866E-17;0;0.007803068;0.01008569;0.03494697;0.03500986;0.09737749;0.05292243;3.012792E-43;1.570435E-41;0.01597442;0.02074404
14.1513;-0.004435575;1.264724;-0.02628075;337.4046;25.02554;1.165925;0.9980469;29.30003;355.7977;0.9980469;29.27063;354.9465;0;0;0;0;0;0;0.3305311;0.8358736;0.01163253;331.3331;285.4712;32.1884;1;1;0.195041;0.2170258;1.365E-11;3.936018E-10;0.04434228;0.04059104;3.177505E-21;0;0.01455256;0.005321001;0;4.547444E-15;0.9955336;0.9955336;0.002955314;0.002951763;0.1141754;0.137308;0;0;0;0;0.1128858;0.1096236;0.0006260276;0.008958548;0.04586048;1.044654E-07;0.006289389;0.005024232;0.01053027;0.0003947335;1.712157E-08;1.951623E-11;0;1.414438E-13;1.770877E-13;9.821462E-14;0;0;0.04801071;0.05575874;9.318376E-13;6.62407E-14;0.108543;0.108621;0.09589266;0.09655251;0.005873994;0.005951259;0.02046501;4.562287E-17;0;0.009065799;0.0100857;0.03529;0.03795946;0.08999731;0.04691896;1.499389E-43;7.801029E-42;0.01434186;0.02044938
14.20689;-0.007413398;1.262388;-0.02351898;338.9459;22.49806;0.9319492;0.9980469;29.30003;355.7977;0.9980469;29.27062;354.9465;0;0;0;0;0;0;0.3294488;0.8362902;0.01406123;331.1171;285.2601;32.18321;1;1;0.1943124;0.2180167;9.619949E-12;2.77362E-10;0.0419898;0.03465996;2.239441E-21;0;0.01787724;0.007698432;0;3.204946E-15;0.9955336;0.9955336;0.002955314;0.002951763;0.1141754;0.137308;0;0;0;0;0.1125096;0.109893;0.000367412;0.00939018;0.03874606;7.325119E-08;0.007637623;0.003005254;0.01035845;0.0002379516;1.206446E-08;1.375445E-11;0;9.968653E-14;1.248078E-13;6.921951E-14;0;0;0.05573544;0.05826023;6.567384E-13;4.668509E-14;0.1061073;0.1166768;0.09852718;0.0991755;0.007434567;0.007504476;0.01807283;3.215407E-17;0;0.009395011;0.0100857;0.03275121;0.03396987;0.090139;0.04525229;1.050974E-43;5.498695E-42;0.01251641;0.02036564
